point	title	description	icon
-71.0952891,42.5256563	Reading, MA	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-71.0731162,41.9487077	Raynham	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-70.8967155,42.51954	Salem	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-71.0897674,41.900101	Taunton	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-71.1724467,42.5481714	Wilmington, MA	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-71.1522765,42.4792618	Woburn	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-71.8571331,42.4096528	Worcester County	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-71.3128285,41.4901024	Newport	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-72.6850932,41.76371109999999	Hartford	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-73.7948516,41.4351069	Putnam County, NY	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.17837390000001,43.026819	Iroquoia	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-74.00597309999999,40.7143528	New York City	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.508275,43.4659017	Oswego	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-79.0640399,43.2630008	Fort Niagara	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-73.7562317,42.6525793	Albany	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-73.42735,44.01533	Albany	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-74.3118212,41.3911653	Orange County, NY	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-74.0169901,40.7031649	Fort George, NY	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-77.5797226,43.2133955	Irondequoit, NY	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-73.616667,43.066667	Saratoga, NY	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-74.2654234,40.5067723	Perth Amboy	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-74.0162658,40.4781616	Sandy Hook	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-79.75977089999999,40.6014555	Allegheny (Shawnee town)	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.34635,39.94066	Conestoga	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-79.5219893,40.816453	Kittanning	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-75.16378900000001,39.952335	Philadelphia	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-75.56631320000001,39.6620572	New Castle, DE	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-75.13934979999999,38.7745565	Lewes	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.4921829,38.9784453	Annapolis	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.5025742,37.4128281	Gloucester County	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.31216,36.68765	Norfolk County	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.633333,37.966667	Northern Neck	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.00521,36.73765	Princess Anne County	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.7074571,37.2707022	Williamsburg	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.64133129999999,35.935995	Albemarle County	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.8116045,35.4771094	Bath, NC	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.91820969999999,35.4613504	Beaufort County, NC	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-77.9447102,34.2257255	Cape Fear	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.6181655,36.1354131	Chowan	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.0142968,36.4465659	Currituck	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.6077213,36.057938	Edenton	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-75.95500489999999,35.5624867	Hyde County, NC	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.94802,36.43154	Mouth of Meherrin River	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-75.66153840000001,35.8897427	Roanoke Island	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-76.17837390000001,35.8925537	Tyrrell County, NC	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-79.93092159999999,32.7765656	Charleston	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-80.6926069,32.3790843	Port Royal, SC	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-81.1192779,32.2974184	Purrysburgh	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-81.4156977,31.3664417	Fort King George (Altamaha)	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-90.0715323,29.95106579999999	New Orleans	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-83.045833,42.328889	Fort Detroit	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.09184,51.51279	London	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.1264,51.5042	Whitehall	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.08333,51.5	Southwark	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.1375,51.5047	St. James's Palace	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.119,51.5164	Newcastle House	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.131729,51.511507	Gerrard Street	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.085579,51.51557	Austin Friars	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.08239,51.5087	Custom House, London	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.13341,51.49866	Scotland Yard	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.071851,51.513	Goodman's Fields	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.1034,51.5187	Smithfield, London	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.12493,51.507	Charing Cross	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.12846,51.49937	Westminster	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.1269,51.5089	St. Martin-in-the-Fields	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.081,51.5144	St. Mary Axe	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.30075,51.46005	Richmond	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.087268,51.512629	Pontack's, London	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.33697,51.40309	Hampton Court	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.129444,51.515278	Denmark Street, London	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
-0.0854,51.5141	Merchant Taylors Hall	place	https://wiki.openstreetmap.org/w/images/e/e7/Ol_icon_blue_example.png
